Fixed Ticket,Data,Media,STDV,UpperLImit,LowerLimit
7-2005,1,"16,8333333333333","23,7337477053634","88,0345764494236",0
8-2005,2,"16,8333333333333",,"88,0345764494236",0
9-2005,14,"16,8333333333333",,"88,0345764494236",0
10-2005,17,"16,8333333333333",,"88,0345764494236",0
11-2005,2,"16,8333333333333",,"88,0345764494236",0
12-2005,22,"16,8333333333333",,"88,0345764494236",0
1-2006,22,"16,8333333333333",,"88,0345764494236",0
2-2006,11,"16,8333333333333",,"88,0345764494236",0
3-2006,8,"16,8333333333333",,"88,0345764494236",0
4-2006,1,"16,8333333333333",,"88,0345764494236",0
5-2006,7,"16,8333333333333",,"88,0345764494236",0
6-2006,14,"16,8333333333333",,"88,0345764494236",0
7-2006,10,"16,8333333333333",,"88,0345764494236",0
8-2006,4,"16,8333333333333",,"88,0345764494236",0
9-2006,4,"16,8333333333333",,"88,0345764494236",0
10-2006,4,"16,8333333333333",,"88,0345764494236",0
12-2006,1,"16,8333333333333",,"88,0345764494236",0
1-2007,7,"16,8333333333333",,"88,0345764494236",0
2-2007,10,"16,8333333333333",,"88,0345764494236",0
3-2007,30,"16,8333333333333",,"88,0345764494236",0
4-2007,8,"16,8333333333333",,"88,0345764494236",0
5-2007,18,"16,8333333333333",,"88,0345764494236",0
6-2007,28,"16,8333333333333",,"88,0345764494236",0
7-2007,18,"16,8333333333333",,"88,0345764494236",0
8-2007,129,"16,8333333333333",,"88,0345764494236",0
9-2007,68,"16,8333333333333",,"88,0345764494236",0
10-2007,56,"16,8333333333333",,"88,0345764494236",0
11-2007,30,"16,8333333333333",,"88,0345764494236",0
12-2007,13,"16,8333333333333",,"88,0345764494236",0
1-2008,13,"16,8333333333333",,"88,0345764494236",0
2-2008,27,"16,8333333333333",,"88,0345764494236",0
3-2008,54,"16,8333333333333",,"88,0345764494236",0
4-2008,72,"16,8333333333333",,"88,0345764494236",0
5-2008,7,"16,8333333333333",,"88,0345764494236",0
6-2008,14,"16,8333333333333",,"88,0345764494236",0
7-2008,20,"16,8333333333333",,"88,0345764494236",0
8-2008,16,"16,8333333333333",,"88,0345764494236",0
9-2008,1,"16,8333333333333",,"88,0345764494236",0
10-2008,9,"16,8333333333333",,"88,0345764494236",0
11-2008,4,"16,8333333333333",,"88,0345764494236",0
12-2008,1,"16,8333333333333",,"88,0345764494236",0
4-2009,1,"16,8333333333333",,"88,0345764494236",0
5-2009,2,"16,8333333333333",,"88,0345764494236",0
8-2009,1,"16,8333333333333",,"88,0345764494236",0
9-2009,2,"16,8333333333333",,"88,0345764494236",0
7-2010,1,"16,8333333333333",,"88,0345764494236",0
1-2012,3,"16,8333333333333",,"88,0345764494236",0
8-2012,1,"16,8333333333333",,"88,0345764494236",0
